Subject	Grade	Domain Name	Domain Abbreviation	Domain Name Full	New Cluster Name	Cluster Abbreviation	Cluster Name Full	Cluster (old)	Standard Abbreviation	State Standard	Notes
Math	1	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Measuring lengths	1.MD.A	(1.MD.A) Measuring lengths	Measure Lengths Indirectly And By Iterating Length Units.	1.MD.A.1	Order three objects by length; compare the lengths of two objects indirectly by using a third object.	
Math	1	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Measuring lengths	1.MD.A	(1.MD.A) Measuring lengths	Measure Lengths Indirectly And By Iterating Length Units.	1.MD.A.2	"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps."	
Math	1	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Time	1.MD.B	(1.MD.B) Time	Tell And Write Time.	1.MD.B.3	Tell and write time in hours and half-hours using analog and digital clocks.	
Math	1	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Working with data	1.MD.C	(1.MD.C) Working with data	Represent And Interpret Data.	1.MD.C.4	"Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another."	
Math	1	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Counting up to 120	1.NBT.A	(1.NBT.A) Counting up to 120	Extend The Counting Sequence.	1.NBT.A.1	"Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral."	
Math	1	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value	1.NBT.B	(1.NBT.B) Place value	Understand Place Value.	1.NBT.B.2	Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:	
Math	1	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value	1.NBT.B	(1.NBT.B) Place value	Understand Place Value.	1.NBT.B.2.a	10 can be thought of as a bundle of ten ones ‰ÛÓ called a ‰ÛÏten.‰Û b.	
Math	1	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value	1.NBT.B	(1.NBT.B) Place value	Understand Place Value.	1.NBT.B.2.b	"The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones."	
Math	1	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value	1.NBT.B	(1.NBT.B) Place value	Understand Place Value.	1.NBT.B.2.c	"The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones)."	
Math	1	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value	1.NBT.B	(1.NBT.B) Place value	Understand Place Value.	1.NBT.B.3	"Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <."	
Math	1	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Using place value to add and subtract	1.NBT.C	(1.NBT.C) Using place value to add and subtract	Use Place Value Understanding And Properties Of Operations To Add And Subtract.	1.NBT.C.4	"Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten."	
Math	1	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Using place value to add and subtract	1.NBT.C	(1.NBT.C) Using place value to add and subtract	Use Place Value Understanding And Properties Of Operations To Add And Subtract.	1.NBT.C.5	"Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used."	
Math	1	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Using place value to add and subtract	1.NBT.C	(1.NBT.C) Using place value to add and subtract	Use Place Value Understanding And Properties Of Operations To Add And Subtract.	1.NBT.C.6	"Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used."	
Math	1	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Solving addition and subtraction problems	1.OA.A	(1.OA.A) Solving addition and subtraction problems	Represent And Solve Problems Involving Addition And Subtraction.	1.OA.A.1	"Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.2"	
Math	1	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Solving addition and subtraction problems	1.OA.A	(1.OA.A) Solving addition and subtraction problems	Represent And Solve Problems Involving Addition And Subtraction.	1.OA.A.2	"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem."	
Math	1	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Properties of addition and subtraction	1.OA.B	(1.OA.B) Properties of addition and subtraction	Understand And Apply Properties Of Operations And The Relationship Between Addition And Subtraction.	1.OA.B.3	"Apply properties of operations as strategies to add and subtract.3 Examples: If 8 + 3 = 11 is known, then 3 + 8 = 11 is also known. (Commutative property of addition.) To add 2 + 6 + 4, the second two numbers can be added to make a ten, so 2 + 6 + 4 = 2 + 10 = 12. (Associative property of addition.)"	
Math	1	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Properties of addition and subtraction	1.OA.B	(1.OA.B) Properties of addition and subtraction	Understand And Apply Properties Of Operations And The Relationship Between Addition And Subtraction.	1.OA.B.4	"Understand subtraction as an unknown-addend problem. For example, subtract 10 ‰ÛÒ 8 by finding the number that makes 10 when added to 8."	
Math	1	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Addition and subtraction up to 20	1.OA.C	(1.OA.C) Addition and subtraction up to 20	Add And Subtract Within 20.	1.OA.C.5	"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2)."	
Math	1	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Addition and subtraction up to 20	1.OA.C	(1.OA.C) Addition and subtraction up to 20	Add And Subtract Within 20.	1.OA.C.6	"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 ‰ÛÒ 4 = 13 ‰ÛÒ 3 ‰ÛÒ 1 = 10 ‰ÛÒ 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 ‰ÛÒ 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13)."	
Math	1	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Addition and subtraction equations	1.OA.D	(1.OA.D) Addition and subtraction equations	Work With Addition And Subtraction Equations.	1.OA.D.7	"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. For example, which of the following equations are true and which are false? 6 = 6, 7 = 8 ‰ÛÒ 1, 5 + 2 = 2 + 5, 4 + 1 = 5 + 2."	
Math	1	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Addition and subtraction equations	1.OA.D	(1.OA.D) Addition and subtraction equations	Work With Addition And Subtraction Equations.	1.OA.D.8	"Determine the unknown whole number in an addition or subtraction equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 + ? = 11, 5 = _ ‰ÛÒ 3, 6 + 6 = _."	
Math	2	Geometry	G	(G) Geometry	Reasoning with shapes	2.G.A	(2.G.A) Reasoning with shapes	Reason With Shapes And Their Attributes.	2.G.A.1	"Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces.5 Identify triangles, quadrilaterals, pentagons, hexagons, and cubes."	
Math	2	Geometry	G	(G) Geometry	Reasoning with shapes	2.G.A	(2.G.A) Reasoning with shapes	Reason With Shapes And Their Attributes.	2.G.A.2	Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.	
Math	2	Geometry	G	(G) Geometry	Reasoning with shapes	2.G.A	(2.G.A) Reasoning with shapes	Reason With Shapes And Their Attributes.	2.G.A.3	"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape."	
Math	2	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Lengths in standard units	2.MD.A	(2.MD.A) Lengths in standard units	Measure And Estimate Lengths In Standard Units.	2.MD.A.1	"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes."	
Math	2	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Lengths in standard units	2.MD.A	(2.MD.A) Lengths in standard units	Measure And Estimate Lengths In Standard Units.	2.MD.A.2	"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen."	
Math	2	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Lengths in standard units	2.MD.A	(2.MD.A) Lengths in standard units	Measure And Estimate Lengths In Standard Units.	2.MD.A.3	"Estimate lengths using units of inches, feet, centimeters, and meters."	
Math	2	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Lengths in standard units	2.MD.A	(2.MD.A) Lengths in standard units	Measure And Estimate Lengths In Standard Units.	2.MD.A.4	"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit."	
Math	2	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Adding and subtracting lengths	2.MD.B	(2.MD.B) Adding and subtracting lengths	Relate Addition And Subtraction To Length.	2.MD.B.5	"Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem."	
Math	2	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Adding and subtracting lengths	2.MD.B	(2.MD.B) Adding and subtracting lengths	Relate Addition And Subtraction To Length.	2.MD.B.6	"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, ..., and represent whole-number sums and differences within 100 on a number line diagram."	
Math	2	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Time and money	2.MD.C	(2.MD.C) Time and money	Work With Time And Money.	2.MD.C.7	"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m."	
Math	2	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Time and money	2.MD.C	(2.MD.C) Time and money	Work With Time And Money.	2.MD.C.8	"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and å¢ symbols appropriately. Example: If you have 2 dimes and 3 pennies, how many cents do you have?"	
Math	2	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Working with data	2.MD.D	(2.MD.D) Working with data	Represent And Interpret Data.	2.MD.D.9	"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units."	
Math	2	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Working with data	2.MD.D	(2.MD.D) Working with data	Represent And Interpret Data.	2.MD.D.10	"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put- together, take-apart, and compare problems4 using information presented in a bar graph."	
Math	2	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value	2.NBT.A	(2.NBT.A) Place value	Understand Place Value.	2.NBT.A.1	"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:"	
Math	2	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value	2.NBT.A	(2.NBT.A) Place value	Understand Place Value.	2.NBT.A.1.a	100 can be thought of as a bundle of ten tens ‰ÛÓ called a ‰ÛÏhundred.‰Û	
Math	2	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value	2.NBT.A	(2.NBT.A) Place value	Understand Place Value.	2.NBT.A.1.b	"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones)."	
Math	2	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value	2.NBT.A	(2.NBT.A) Place value	Understand Place Value.	2.NBT.A.2	"Count within 1000; skip-count by 5s, 10s, and 100s."	
Math	2	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value	2.NBT.A	(2.NBT.A) Place value	Understand Place Value.	2.NBT.A.3	"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form."	
Math	2	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value	2.NBT.A	(2.NBT.A) Place value	Understand Place Value.	2.NBT.A.4	"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons."	
Math	2	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Using place value to add and subtract	2.NBT.B	(2.NBT.B) Using place value to add and subtract	Use Place Value Understanding And Properties Of Operations To Add And Subtract.	2.NBT.B.5	"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction."	
Math	2	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Using place value to add and subtract	2.NBT.B	(2.NBT.B) Using place value to add and subtract	Use Place Value Understanding And Properties Of Operations To Add And Subtract.	2.NBT.B.6	Add up to four two-digit numbers using strategies based on place value and properties of operations.	
Math	2	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Using place value to add and subtract	2.NBT.B	(2.NBT.B) Using place value to add and subtract	Use Place Value Understanding And Properties Of Operations To Add And Subtract.	2.NBT.B.7	"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three- digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds."	
Math	2	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Using place value to add and subtract	2.NBT.B	(2.NBT.B) Using place value to add and subtract	Use Place Value Understanding And Properties Of Operations To Add And Subtract.	2.NBT.B.8	"Mentally add 10 or 100 to a given number 100‰ÛÒ900, and mentally subtract 10 or 100 from a given number 100‰ÛÒ900."	
Math	2	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Using place value to add and subtract	2.NBT.B	(2.NBT.B) Using place value to add and subtract	Use Place Value Understanding And Properties Of Operations To Add And Subtract.	2.NBT.B.9	"Explain why addition and subtraction strategies work, using place value and the properties of operations.3"	
Math	2	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Solving addition and subtraction problems	2.OA.A	(2.OA.A) Solving addition and subtraction problems	Represent And Solve Problems Involving Addition And Subtraction.	2.OA.A.1	"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.1"	
Math	2	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Addition and subtraction up to 20	2.OA.B	(2.OA.B) Addition and subtraction up to 20	Add And Subtract Within 20.	2.OA.B.2	"Fluently add and subtract within 20 using mental strategies.2 By end of Grade 2, know from memory all sums of two one-digit numbers."	
Math	2	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Multiplication with equal groups	2.OA.C	(2.OA.C) Multiplication with equal groups	Work With Equal Groups Of Objects To Gain Foundations For Multiplication.	2.OA.C.3	"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends."	
Math	2	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Multiplication with equal groups	2.OA.C	(2.OA.C) Multiplication with equal groups	Work With Equal Groups Of Objects To Gain Foundations For Multiplication.	2.OA.C.4	Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.	
Math	3	Geometry	G	(G) Geometry	Reasoning with shapes	3.G.A	(3.G.A) Reasoning with shapes	Reason With Shapes And Their Attributes.	3.G.A.1	"Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories."	
Math	3	Geometry	G	(G) Geometry	Reasoning with shapes	3.G.A	(3.G.A) Reasoning with shapes	Reason With Shapes And Their Attributes.	3.G.A.2	"Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole. For example, partition a shape into 4 parts with equal area, and describe the area of each part as 1/4 of the area of the shape."	
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	"Time, volume, and mass"	3.MD.A	"(3.MD.A) Time, volume, and mass"	"Solve Problems Involving Measurement And Estimation Of Intervals Of Time, Liquid Volumes, And Masses Of Objects."	3.MD.A.1	"Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram."	
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	"Time, volume, and mass"	3.MD.A	"(3.MD.A) Time, volume, and mass"	"Solve Problems Involving Measurement And Estimation Of Intervals Of Time, Liquid Volumes, And Masses Of Objects."	3.MD.A.2	"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l).6 Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.7"	
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Working with data	3.MD.B	(3.MD.B) Working with data	Represent And Interpret Data.	3.MD.B.3	"Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step ‰ÛÏhow many more‰Û and ‰ÛÏhow many less‰Û problems using information presented in scaled bar graphs. For example, draw a bar graph in which each square in the bar graph might represent 5 pets."	
