subject	grade	domain	domainAbbrev	cluster	standardName	stateStandard
English	K	Writing	W	Text Types and Purposes	W.K.3	"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened."
English	K	Writing	W	Production and Distribution of Writing	W.K.5	"With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed."
English	K	Writing	W	Production and Distribution of Writing	W.K.6	"With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers."
English	K	Writing	W	Research to Build and Present Knowledge	W.K.7	"Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them)."
English	K	Writing	W	Research to Build and Present Knowledge	W.K.8	"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question."
English	1	Language	L	Conventions of Standard English	L.1.1	Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
English	1	Language	L	Conventions of Standard English	L.1.1.A	Print all upper- and lowercase letters.
English	1	Language	L	Conventions of Standard English	L.1.1.B	"Use common, proper, and possessive nouns."
English	1	Language	L	Conventions of Standard English	L.1.1.C	"Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop)."
English	1	Language	L	Conventions of Standard English	L.1.1.D	"Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their, anyone, everything)."
English	1	Language	L	Conventions of Standard English	L.1.1.E	"Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home)."
English	1	Language	L	Conventions of Standard English	L.1.1.F	Use frequently occurring adjectives.
English	1	Language	L	Conventions of Standard English	L.1.1.G	"Use frequently occurring conjunctions (e.g., and, but, or, so, because)."
English	1	Language	L	Conventions of Standard English	L.1.1.H	"Use determiners (e.g., articles, demonstratives)."
English	1	Language	L	Conventions of Standard English	L.1.1.I	"Use frequently occurring prepositions (e.g., during, beyond, toward)."
English	1	Language	L	Conventions of Standard English	L.1.1.J	"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts."
English	1	Language	L	Conventions of Standard English	L.1.2	"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
English	1	Language	L	Conventions of Standard English	L.1.2.A	Capitalize dates and names of people.
English	1	Language	L	Conventions of Standard English	L.1.2.B	Use end punctuation for sentences.
English	1	Language	L	Conventions of Standard English	L.1.2.C	Use commas in dates and to separate single words in a series.
English	1	Language	L	Conventions of Standard English	L.1.2.D	Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.
English	1	Language	L	Conventions of Standard English	L.1.2.E	"Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions."
English	1	Language	L	Vocabulary Acquisition and Use	L.1.4	"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies."
English	1	Language	L	Vocabulary Acquisition and Use	L.1.4.A	Use sentence-level context as a clue to the meaning of a word or phrase.
English	1	Language	L	Vocabulary Acquisition and Use	L.1.4.B	Use frequently occurring affixes as a clue to the meaning of a word.
English	1	Language	L	Vocabulary Acquisition and Use	L.1.4.C	"Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking)."
English	1	Language	L	Vocabulary Acquisition and Use	L.1.5	"With guidance and support from adults, demonstrate understanding of figurative language, word relationships and nuances in word meanings."
English	1	Language	L	Vocabulary Acquisition and Use	L.1.5.A	"Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent."
English	1	Language	L	Vocabulary Acquisition and Use	L.1.5.B	"Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes)."
English	1	Language	L	Vocabulary Acquisition and Use	L.1.5.C	"Identify real-life connections between words and their use (e.g., note places at home that are cozy)."
English	1	Language	L	Vocabulary Acquisition and Use	L.1.5.D	"Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings."
English	1	Language	L	Vocabulary Acquisition and Use	L.1.6	"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because)."
English	1	Reading: Foundational Skills	RF	Print Concepts	RF.1.1	Demonstrate understanding of the organization and basic features of print.
English	1	Reading: Foundational Skills	RF	Print Concepts	RF.1.1.A	"Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation)."
English	1	Reading: Foundational Skills	RF	Phonological awareness	RF.1.2	"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
English	1	Reading: Foundational Skills	RF	Phonological awareness	RF.1.2.A	Distinguish long from short vowel sounds in spoken single-syllable words.
English	1	Reading: Foundational Skills	RF	Phonological awareness	RF.1.2.B	"Orally produce single-syllable words by blending sounds (phonemes), including consonant blends."
English	1	Reading: Foundational Skills	RF	Phonological awareness	RF.1.2.C	"Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words."
English	1	Reading: Foundational Skills	RF	Phonological awareness	RF.1.2.D	Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes).
English	1	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.1.3	Know and apply grade-level phonics and word analysis skills in decoding words.
English	1	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.1.3.A	Know the spelling-sound correspondences for common consonant digraphs.
English	1	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.1.3.B	Decode regularly spelled one-syllable words.
English	1	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.1.3.C	Know final -e and common vowel team conventions for representing long vowel sounds.
English	1	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.1.3.D	Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.
English	1	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.1.3.E	Decode two-syllable words following basic patterns by breaking the words into syllables.
English	1	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.1.3.F	Read words with inflectional endings.
English	1	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.1.3.G	Recognize and read grade-appropriate irregularly spelled words.
English	1	Reading: Foundational Skills	RF	Fluency	RF.1.4	Read with sufficient accuracy and fluency to support comprehension.
English	1	Reading: Foundational Skills	RF	Fluency	RF.1.4.A	Read on-level text with purpose and understanding.
English	1	Reading: Foundational Skills	RF	Fluency	RF.1.4.B	"Read on-level text orally with accuracy, appropriate rate, and expression on successive readings."
English	1	Reading: Foundational Skills	RF	Fluency	RF.1.4.C	"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
English	1	Reading: Informational Text	RI	Key Ideas and Details	RI.1.1	Ask and answer questions about key details in a text.
English	1	Reading: Informational Text	RI	Key Ideas and Details	RI.1.2	Identify the main topic and retell key details of a text.
English	1	Reading: Informational Text	RI	Key Ideas and Details	RI.1.3	"Describe the connection between two individuals, events, ideas, or pieces of information in a text."
English	1	Reading: Informational Text	RI	Craft and Structure	RI.1.4	Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.
English	1	Reading: Informational Text	RI	Craft and Structure	RI.1.5	"Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text."
English	1	Reading: Informational Text	RI	Craft and Structure	RI.1.6	Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.
English	1	Reading: Informational Text	RI	Integration of Knowledge and Ideas	RI.1.7	Use the illustrations and details in a text to describe its key ideas.
English	1	Reading: Informational Text	RI	Integration of Knowledge and Ideas	RI.1.8	Identify the reasons an author gives to support points in a text.
English	1	Reading: Informational Text	RI	Integration of Knowledge and Ideas	RI.1.9	"Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
English	1	Reading: Informational Text	RI	Range of Reading and Level of Text Complexity	RI.1.10	"With prompting and support, read informational texts appropriately complex for grade 1."
English	1	Reading: Literature	RL	Key Ideas and Details	RL.1.1	Ask and answer questions about key details in a text.
English	1	Reading: Literature	RL	Key Ideas and Details	RL.1.2	"Retell stories, including key details, and demonstrate understanding of their central message or lesson."
English	1	Reading: Literature	RL	Key Ideas and Details	RL.1.3	"Describe characters, settings, and major events in a story, using key details."
English	1	Reading: Literature	RL	Craft and Structure	RL.1.4	Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.
English	1	Reading: Literature	RL	Craft and Structure	RL.1.5	"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types."
English	1	Reading: Literature	RL	Craft and Structure	RL.1.6	Identify who is telling the story at various points in a text.
English	1	Reading: Literature	RL	Integration of Knowledge and Ideas	RL.1.7	"Use illustrations and details in a story to describe its characters, setting, or events."
English	1	Reading: Literature	RL	Integration of Knowledge and Ideas	RL.1.9	Compare and contrast the adventures and experiences of characters in stories.
English	1	Reading: Literature	RL	Range of Reading and Level of Text Complexity	RL.1.10	"With prompting and support, read prose and poetry of appropriate complexity for grade 1."
English	1	Speaking &amp; Listening	SL	Comprehension and Collaboration	SL.1.1	Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups.
English	1	Speaking &amp; Listening	SL	Comprehension and Collaboration	SL.1.1.A	"Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion)."
English	1	Speaking &amp; Listening	SL	Comprehension and Collaboration	SL.1.1.B	Build on others‰Ûª talk in conversations by responding to the comments of others through multiple exchanges.
English	1	Speaking &amp; Listening	SL	Comprehension and Collaboration	SL.1.1.C	Ask questions to clear up any confusion about the topics and texts under discussion.
English	1	Speaking &amp; Listening	SL	Comprehension and Collaboration	SL.1.2	Ask and answer questions about key details in a text read aloud or information presented orally or through other media.
English	1	Speaking &amp; Listening	SL	Comprehension and Collaboration	SL.1.3	Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.
English	1	Speaking &amp; Listening	SL	Presentation of Knowledge and Ideas	SL.1.4	"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly."
English	1	Speaking &amp; Listening	SL	Presentation of Knowledge and Ideas	SL.1.5	"Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings."
English	1	Speaking &amp; Listening	SL	Presentation of Knowledge and Ideas	SL.1.6	Produce complete sentences when appropriate to task and situation.
English	1	Writing	W	Text Types and Purposes	W.1.1	"Write opinion pieces in which they introduce the topic or name the book they are writing about, state an opinion, supply a reason for the opinion, and provide some sense of closure."
English	1	Writing	W	Text Types and Purposes	W.1.2	"Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure."
English	1	Writing	W	Text Types and Purposes	W.1.3	"Write narratives in which they recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure."
English	1	Writing	W	Production and Distribution of Writing	W.1.5	"With guidance and support from adults, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed."
English	1	Writing	W	Production and Distribution of Writing	W.1.6	"With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers."
English	1	Writing	W	Research to Build and Present Knowledge	W.1.7	"Participate in shared research and writing projects (e.g., explore a number of ‰ÛÏhow-to‰Ûù books on a given topic and use them to write a sequence of instructions)."
English	1	Writing	W	Research to Build and Present Knowledge	W.1.8	"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question."
English	2	Language	L	Conventions of Standard English	L.2.1	Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
English	2	Language	L	Conventions of Standard English	L.2.1.A	"Use collective nouns (e.g.,åÊgroup)."
English	2	Language	L	Conventions of Standard English	L.2.1.B	"Form and use frequently occurring irregular plural nouns (e.g.,åÊfeet, children, teeth, mice, fish)."
English	2	Language	L	Conventions of Standard English	L.2.1.C	"Use reflexive pronouns (e.g.,åÊmyself, ourselves)."
English	2	Language	L	Conventions of Standard English	L.2.1.D	"Form and use the past tense of frequently occurring irregular verbs (e.g.,åÊsat, hid, told)."
English	2	Language	L	Conventions of Standard English	L.2.1.E	"Use adjectives and adverbs, and choose between them depending on what is to be modified."
English	2	Language	L	Conventions of Standard English	L.2.1.F	"Produce, expand, and rearrange complete simple and compound sentences (e.g.,åÊThe boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy)."
English	2	Language	L	Conventions of Standard English	L.2.2	"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
English	2	Language	L	Conventions of Standard English	L.2.2.A	"Capitalize holidays, product names, and geographic names."
English	2	Language	L	Conventions of Standard English	L.2.2.B	Use commas in greetings and closings of letters.
English	2	Language	L	Conventions of Standard English	L.2.2.C	Use an apostrophe to form contractions and frequently occurring possessives.
English	2	Language	L	Conventions of Standard English	L.2.2.D	"Generalize learned spelling patterns when writing words (e.g.,åÊcage ‰ Õ badge; boy ‰ Õ boil)."
English	2	Language	L	Conventions of Standard English	L.2.2.E	"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings."
English	2	Language	L	Knowledge of Language	L.2.3	"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
English	2	Language	L	Knowledge of Language	L.2.3.A	Compare formal and informal uses of English.
English	2	Language	L	Vocabulary Acquisition and Use	L.2.4	"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 2 reading and content, choosing flexibly from an array of strategies."
English	2	Language	L	Vocabulary Acquisition and Use	L.2.4.A	Use sentence-level context as a clue to the meaning of a word or phrase.
English	2	Language	L	Vocabulary Acquisition and Use	L.2.4.B	"Determine the meaning of the new word formed when a known prefix is added to a known word (e.g.,åÊhappy/unhappy, tell/retell)."
English	2	Language	L	Vocabulary Acquisition and Use	L.2.4.C	"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g.,åÊaddition, additional)."
English	2	Language	L	Vocabulary Acquisition and Use	L.2.4.D	"Use knowledge of the meaning of individual words to predict the meaning of compound words (e.g.,åÊbirdhouse, lighthouse, housefly; bookshelf, notebook, bookmark)."
English	2	Language	L	Vocabulary Acquisition and Use	L.2.4.E	"Use glossaries and beginning dictionaries, both print and digital, to determine or clarify the meaning of words and phrases."
English	2	Language	L	Vocabulary Acquisition and Use	L.2.5	"Demonstrate understanding of figurative language, word relationships and nuances in word meanings."
English	2	Language	L	Vocabulary Acquisition and Use	L.2.5.A	"Identify real-life connections between words and their use (e.g.,åÊdescribe foods that are spicy or juicy)."
English	2	Language	L	Vocabulary Acquisition and Use	L.2.5.B	"Distinguish shades of meaning among closely related verbs (e.g.,åÊtoss, throw, hurl) and closely related adjectives (e.g.,åÊthin, slender, skinny, scrawny)."
English	2	Language	L	Vocabulary Acquisition and Use	L.2.6	"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using adjectives and adverbs to describe (e.g.,åÊWhen other kids are happy that makes me happy)."
English	2	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.2.3	Know and apply grade-level phonics and word analysis skills in decoding words.
English	2	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.2.3.A	Distinguish long and short vowels when reading regularly spelled one-syllable words.
English	2	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.2.3.B	Know spelling-sound correspondences for additional common vowel teams.
English	2	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.2.3.C	Decode regularly spelled two-syllable words with long vowels.
English	2	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.2.3.D	Decode words with common prefixes and suffixes.
English	2	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.2.3.E	Identify words with inconsistent but common spelling-sound correspondences.
English	2	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.2.3.F	Recognize and read grade-appropriate irregularly spelled words.
English	2	Reading: Foundational Skills	RF	Fluency	RF.2.4	Read with sufficient accuracy and fluency to support comprehension.
English	2	Reading: Foundational Skills	RF	Fluency	RF.2.4.A	Read on-level text with purpose and understanding.
English	2	Reading: Foundational Skills	RF	Fluency	RF.2.4.B	"Read on-level text orally with accuracy, appropriate rate, and expression on successive readings."
English	2	Reading: Foundational Skills	RF	Fluency	RF.2.4.C	"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
English	2	Reading: Informational Text	RI	Key Ideas and Details	RI.2.1	"Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text."
English	2	Reading: Informational Text	RI	Key Ideas and Details	RI.2.2	Identify the main topic of a multiparagraph text as well as the focus of specific paragraphs within the text.
English	2	Reading: Informational Text	RI	Key Ideas and Details	RI.2.3	"Describe the connection between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text."
English	2	Reading: Informational Text	RI	Craft and Structure	RI.2.4	Determine the meaning of words and phrases in a text relevant to a grade 2 topic or subject area.
English	2	Reading: Informational Text	RI	Craft and Structure	RI.2.5	"Know and use various text features (e.g., captions, bold print, subheadings, glossaries, indexes, electronic menus, icons) to locate key facts or information in a text efficiently."
English	2	Reading: Informational Text	RI	Craft and Structure	RI.2.6	"Identify the main purpose of a text, including what the author wants to answer, explain, or describe."
English	2	Reading: Informational Text	RI	Integration of Knowledge and Ideas	RI.2.7	"Explain how specific images (e.g., a diagram showing how a machine works) contribute to and clarify a text."
English	2	Reading: Informational Text	RI	Integration of Knowledge and Ideas	RI.2.8	Describe how reasons support specific points the author makes in a text.
English	2	Reading: Informational Text	RI	Integration of Knowledge and Ideas	RI.2.9	Compare and contrast the most important points presented by two texts on the same topic.
English	2	Reading: Informational Text	RI	Range of Reading and Level of Text Complexity	RI.2.10	"By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 2‰ÛÒ3 text complexity band proficiently, with scaffolding as needed at the high end of the range."
English	2	Reading: Literature	RL	Key Ideas and Details	RL.2.1	"Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text."
English	2	Reading: Literature	RL	Key Ideas and Details	RL.2.2	"Recount stories, including fables and folktales from diverse cultures, and determine their central message, lesson, or moral."
English	2	Reading: Literature	RL	Key Ideas and Details	RL.2.3	Describe how characters in a story respond to major events and challenges.
English	2	Reading: Literature	RL	Craft and Structure	RL.2.4	"Describe how words and phrases (e.g., regular beats, alliteration, rhymes, repeated lines) supply rhythm and meaning in a story, poem, or song."
English	2	Reading: Literature	RL	Craft and Structure	RL.2.5	"Describe the overall structure of a story, including describing how the beginning introduces the story and the ending concludes the action."
English	2	Reading: Literature	RL	Craft and Structure	RL.2.6	"Acknowledge differences in the points of view of characters, including by speaking in a different voice for each character when reading dialogue aloud."
English	2	Reading: Literature	RL	Integration of Knowledge and Ideas	RL.2.7	"Use information gained from the illustrations and words in a print or digital text to demonstrate understanding of its characters, setting, or plot."
English	2	Reading: Literature	RL	Integration of Knowledge and Ideas	RL.2.9	"Compare and contrast two or more versions of the same story (e.g., Cinderella stories) by different authors or from different cultures."
English	2	Reading: Literature	RL	Range of Reading and Level of Text Complexity	RL.2.10	"By the end of the year, read and comprehend literature, including stories and poetry, in the grades 2‰ÛÒ3 text complexity band proficiently, with scaffolding as needed at the high end of the range."
English	2	Speaking &amp; Listening	SL	Comprehension and Collaboration	SL.2.1	Participate in collaborative conversations with diverse partners about grade 2 topics and texts with peers and adults in small and larger groups.
