subject	grade	domain	domainAbbrev	cluster	standardName	stateStandard		
Math	Grade: 1	Operations & Algebraic Thinking	OA	Solving addition and subtraction problems	1.OA.A.1	"Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.2"		
Math	Grade: 1	Operations & Algebraic Thinking	OA	Solving addition and subtraction problems	1.OA.A.2	"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem."		
Math	Grade: 1	Operations & Algebraic Thinking	OA	Properties of addition and subtraction	1.OA.B.3	"Apply properties of operations as strategies to add and subtract.3 Examples: If 8 + 3 = 11 is known, then 3 + 8 = 11 is also known. (Commutative property of addition.) To add 2 + 6 + 4, the second two numbers can be added to make a ten, so 2 + 6 + 4 = 2 + 10 = 12. (Associative property of addition.)"		
Math	Grade: 1	Operations & Algebraic Thinking	OA	Properties of addition and subtraction	1.OA.B.4	"Understand subtraction as an unknown-addend problem. For example, subtract 10 äóñ 8 by finding the number that makes 10 when added to 8."		
Math	Grade: 1	Operations & Algebraic Thinking	OA	Addition and subtraction up to 20	1.OA.C.5	"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2)."		
Math	Grade: 1	Operations & Algebraic Thinking	OA	Addition and subtraction up to 20	1.OA.C.6	"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 äóñ 4 = 13 äóñ 3 äóñ 1 = 10 äóñ 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 äóñ 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13)."		
Math	Grade: 1	Operations & Algebraic Thinking	OA	Addition and subtraction equations	1.OA.D.7	"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. For example, which of the following equations are true and which are false? 6 = 6, 7 = 8 äóñ 1, 5 + 2 = 2 + 5, 4 + 1 = 5 + 2."		
Math	Grade: 1	Operations & Algebraic Thinking	OA	Addition and subtraction equations	1.OA.D.8	"Determine the unknown whole number in an addition or subtraction equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 + ? = 11, 5 = _ äóñ 3, 6 + 6 = _."		
Math	Grade: 2	Geometry	G	Reasoning with shapes	2.G.A.1	"Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces.5 Identify triangles, quadrilaterals, pentagons, hexagons, and cubes."		
Math	Grade: 2	Geometry	G	Reasoning with shapes	2.G.A.2	Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.		
Math	Grade: 2	Geometry	G	Reasoning with shapes	2.G.A.3	"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape."		
Math	Grade: 2	Measurement & Data	MD	Lengths in standard units	2.MD.A.1	"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes."		
Math	Grade: 2	Measurement & Data	MD	Lengths in standard units	2.MD.A.2	"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen."		
Math	Grade: 2	Measurement & Data	MD	Lengths in standard units	2.MD.A.3	"Estimate lengths using units of inches, feet, centimeters, and meters."		
Math	Grade: 2	Measurement & Data	MD	Lengths in standard units	2.MD.A.4	"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit."		
Math	Grade: 2	Measurement & Data	MD	Adding and subtracting lengths	2.MD.B.5	"Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem."		
Math	Grade: 2	Measurement & Data	MD	Adding and subtracting lengths	2.MD.B.6	"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, ..., and represent whole-number sums and differences within 100 on a number line diagram."		
Math	Grade: 2	Measurement & Data	MD	Time and money	2.MD.C.7	"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m."		
Math	Grade: 2	Measurement & Data	MD	Time and money	2.MD.C.8	"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and Œ¢ symbols appropriately. Example: If you have 2 dimes and 3 pennies, how many cents do you have?"		
Math	Grade: 2	Measurement & Data	MD	Working with data	2.MD.D.9	"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units."		
Math	Grade: 2	Measurement & Data	MD	Working with data	2.MD.D.10	"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put- together, take-apart, and compare problems4 using information presented in a bar graph."		
Math	Grade: 2	Number & Operations in Base Ten	NBT	Place value	2.NBT.A.1	"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:"		
Math	Grade: 2	Number & Operations in Base Ten	NBT	Place value	2.NBT.A.1.a	100 can be thought of as a bundle of ten tens äóî called a äóìhundred.äó		
Math	Grade: 2	Number & Operations in Base Ten	NBT	Place value	2.NBT.A.1.b	"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones)."		
Math	Grade: 2	Number & Operations in Base Ten	NBT	Place value	2.NBT.A.2	"Count within 1000; skip-count by 5s, 10s, and 100s."		
Math	Grade: 2	Number & Operations in Base Ten	NBT	Place value	2.NBT.A.3	"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form."		
Math	Grade: 2	Number & Operations in Base Ten	NBT	Place value	2.NBT.A.4	"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons."		
Math	Grade: 2	Number & Operations in Base Ten	NBT	Using place value to add and subtract	2.NBT.B.5	"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction."		
Math	Grade: 2	Number & Operations in Base Ten	NBT	Using place value to add and subtract	2.NBT.B.6	Add up to four two-digit numbers using strategies based on place value and properties of operations.		
Math	Grade: 2	Number & Operations in Base Ten	NBT	Using place value to add and subtract	2.NBT.B.7	"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three- digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds."		
Math	Grade: 2	Number & Operations in Base Ten	NBT	Using place value to add and subtract	2.NBT.B.8	"Mentally add 10 or 100 to a given number 100äóñ900, and mentally subtract 10 or 100 from a given number 100äóñ900."		
Math	Grade: 2	Number & Operations in Base Ten	NBT	Using place value to add and subtract	2.NBT.B.9	"Explain why addition and subtraction strategies work, using place value and the properties of operations.3"		
Math	Grade: 2	Operations & Algebraic Thinking	OA	Solving addition and subtraction problems	2.OA.A.1	"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.1"		
Math	Grade: 2	Operations & Algebraic Thinking	OA	Addition and subtraction up to 20	2.OA.B.2	"Fluently add and subtract within 20 using mental strategies.2 By end of Grade 2, know from memory all sums of two one-digit numbers."		
Math	Grade: 2	Operations & Algebraic Thinking	OA	Multiplication with equal groups	2.OA.C.3	"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends."		
Math	Grade: 2	Operations & Algebraic Thinking	OA	Multiplication with equal groups	2.OA.C.4	Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.		
Math	Grade: 3	Geometry	G	Reasoning with shapes	3.G.A.1	"Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories."		
Math	Grade: 3	Geometry	G	Reasoning with shapes	3.G.A.2	"Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole. For example, partition a shape into 4 parts with equal area, and describe the area of each part as 1/4 of the area of the shape."		
Math	Grade: 3	Measurement & Data	MD	"Time, volume, and mass"	3.MD.A.1	"Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram."		
Math	Grade: 3	Measurement & Data	MD	"Time, volume, and mass"	3.MD.A.2	"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l).6 Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.7"		
Math	Grade: 3	Measurement & Data	MD	Working with data	3.MD.B.3	"Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step äóìhow many moreäó and äóìhow many lessäó problems using information presented in scaled bar graphs. For example, draw a bar graph in which each square in the bar graph might represent 5 pets."		
Math	Grade: 3	Measurement & Data	MD	Working with data	3.MD.B.4	"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate unitsäóî whole numbers, halves, or quarters."		
Math	Grade: 3	Measurement & Data	MD	Area	3.MD.C.5	Recognize area as an attribute of plane figures and understand concepts of area measurement.		
Math	Grade: 3	Measurement & Data	MD	Area	3.MD.C.5.a	"A square with side length 1 unit, called äóìa unit square,äó is said to have äóìone square unitäó of area, and can be used to measure area."		
Math	Grade: 3	Measurement & Data	MD	Area	3.MD.C.5.b	A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.		
Math	Grade: 3	Measurement & Data	MD	Area	3.MD.C.6	"Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units)."		
Math	Grade: 3	Measurement & Data	MD	Area	3.MD.C.7	Relate area to the operations of multiplication and addition.		
Math	Grade: 3	Measurement & Data	MD	Area	3.MD.C.7.a	"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths."		
Math	Grade: 3	Measurement & Data	MD	Area	3.MD.C.7.b	"Multiply side lengths to find areas of rectangles with whole- number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning."		
Math	Grade: 3	Measurement & Data	MD	Area	3.MD.C.7.c	Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a í„ b and a í„ c. Use area models to represent the distributive property in mathematical reasoning.		
Math	Grade: 3	Measurement & Data	MD	Area	3.MD.C.7.d	"Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems."		
Math	Grade: 3	Measurement & Data	MD	Perimeter	3.MD.D.8	"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters."		
Math	Grade: 3	Number & Operations in Base Ten	NBT	Multi-digit arithmetic	3.NBT.A.1	Use place value understanding to round whole numbers to the nearest 10 or 100.		
Math	Grade: 3	Number & Operations in Base Ten	NBT	Multi-digit arithmetic	3.NBT.A.2	"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction."		
Math	Grade: 3	Number & Operations in Base Ten	NBT	Multi-digit arithmetic	3.NBT.A.3	"Multiply one-digit whole numbers by multiples of 10 in the range 10äóñ90 (e.g., 9 í„ 80, 5 í„ 60) using strategies based on place value and properties of operations."		
Math	Grade: 3	Number & Operations-Fractions	NF	Fractions as numbers	3.NF.A.1	Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.		
Math	Grade: 3	Number & Operations-Fractions	NF	Fractions as numbers	3.NF.A.2	Understand a fraction as a number on the number line; represent fractions on a number line diagram.		
Math	Grade: 3	Number & Operations-Fractions	NF	Fractions as numbers	3.NF.A.2.a	Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line.		
Math	Grade: 3	Number & Operations-Fractions	NF	Fractions as numbers	3.NF.A.2.b	Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line.		
Math	Grade: 3	Number & Operations-Fractions	NF	Fractions as numbers	3.NF.A.3	"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size."		
Math	Grade: 3	Number & Operations-Fractions	NF	Fractions as numbers	3.NF.A.3.a	"Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line."		
Math	Grade: 3	Number & Operations-Fractions	NF	Fractions as numbers	3.NF.A.3.b	"Recognize and generate simple equivalent fractions, e.g., 1/2 = 2/4, 4/6 = 2/3). Explain why the fractions are equivalent, e.g., by using a visual fraction model."		
Math	Grade: 3	Number & Operations-Fractions	NF	Fractions as numbers	3.NF.A.3.c	"Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. Examples: Express 3 in the form 3 = 3/1; recognize that 6/1 = 6; locate 4/4 and 1 at the same point of a number line diagram."		
Math	Grade: 3	Number & Operations-Fractions	NF	Fractions as numbers	3.NF.A.3.d	"Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model."		
Math	Grade: 3	Operations & Algebraic Thinking	OA	Solving multiplication and division problems	3.OA.A.1	"Interpret products of whole numbers, e.g., interpret 5 í„ 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 í„ 7."		
Math	Grade: 3	Operations & Algebraic Thinking	OA	Solving multiplication and division problems	3.OA.A.2	"Interpret whole-number quotients of whole numbers, e.g., interpret 56 í‡ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each. For example, describe a context in which a number of shares or a number of groups can be expressed as 56 í‡ 8."		
Math	Grade: 3	Operations & Algebraic Thinking	OA	Solving multiplication and division problems	3.OA.A.3	"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.1"		
Math	Grade: 3	Operations & Algebraic Thinking	OA	Solving multiplication and division problems	3.OA.A.4	"Determine the unknown whole number in a multiplication or division equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 í„ ? = 48, 5 = _ í‡ 3, 6 í„ 6 = ?."		
Math	Grade: 3	Operations & Algebraic Thinking	OA	Multiplication and division properties	3.OA.B.5	"Apply properties of operations as strategies to multiply and divide.2 Examples: If 6 í„ 4 = 24 is known, then 4 í„ 6 = 24 is also known. (Commutative property of multiplication.) 3 í„ 5 í„ 2 can be found by 3 í„ 5 = 15, then 15 í„ 2 = 30, or by 5 í„ 2 = 10, then 3 í„ 10 = 30. (Associative property of multiplication.) Knowing that 8 í„ 5 = 40 and 8 í„ 2 = 16, one can find 8 í„ 7 as 8 í„ (5 + 2) = (8 í„ 5) + (8 í„ 2) = 40 + 16 = 56. (Distributive property.)"		
Math	Grade: 3	Operations & Algebraic Thinking	OA	Multiplication and division properties	3.OA.B.6	"Understand division as an unknown-factor problem. For example, find 32 í‡ 8 by finding the number that makes 32 when multiplied by 8."		
Math	Grade: 3	Operations & Algebraic Thinking	OA	Multiplication and division up to 100	3.OA.C.7	"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 í„ 5 = 40, one knows 40 í‡ 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers."		
Math	Grade: 3	Operations & Algebraic Thinking	OA	Two-step problems and arithmetic patterns	3.OA.D.8	Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.3		
Math	Grade: 3	Operations & Algebraic Thinking	OA	Two-step problems and arithmetic patterns	3.OA.D.9	"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations. For example, observe that 4 times a number is always even, and explain why 4 times a number can be decomposed into two equal addends."		
Math	Grade: 4	Geometry	G	"Identifying lines, angles, and shapes"	4.G.A.1	"Draw points, lines, line segments, rays, angles (right, acute, obtuse), and perpendicular and parallel lines. Identify these in two-dimensional figures."		
Math	Grade: 4	Geometry	G	"Identifying lines, angles, and shapes"	4.G.A.2	"Classify two-dimensional figures based on the presence or absence of parallel or perpendicular lines, or the presence or absence of angles of a specified size. Recognize right triangles as a category, and identify right triangles."		
Math	Grade: 4	Geometry	G	"Identifying lines, angles, and shapes"	4.G.A.3	Recognize a line of symmetry for a two-dimensional figure as a line across the figure such that the figure can be folded along the line into matching parts. Identify line-symmetric figures and draw lines of symmetry.		
Math	Grade: 4	Measurement & Data	MD	Measurement problems and unit conversions	4.MD.A.1	"Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equivalents in a two- column table. For example, know that 1 ft is 12 times as long as 1 in. Express the length of a 4 ft snake as 48 in. Generate a conversion table for feet and inches listing the number pairs (1, 12), (2, 24), (3, 36), ..."		
Math	Grade: 4	Measurement & Data	MD	Measurement problems and unit conversions	4.MD.A.2	"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale."		
Math	Grade: 4	Measurement & Data	MD	Measurement problems and unit conversions	4.MD.A.3	"Apply the area and perimeter formulas for rectangles in real world and mathematical problems. For example, find the width of a rectangular room given the area of the flooring and the length, by viewing the area formula as a multiplication equation with an unknown factor."		
Math	Grade: 4	Measurement & Data	MD	Working with data	4.MD.B.4	"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots. For example, from a line plot find and interpret the difference in length between the longest and shortest specimens in an insect collection."		
Math	Grade: 4	Measurement & Data	MD	Angle measurement	4.MD.C.5	"Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement:"		
Math	Grade: 4	Measurement & Data	MD	Angle measurement	4.MD.C.5.a	"An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle. An angle that turns through 1/360 of a circle is called a äóìone-degree angle,äó and can be used to measure angles."		
Math	Grade: 4	Measurement & Data	MD	Angle measurement	4.MD.C.5.b	An angle that turns through n one-degree angles is said to have an angle measure of n degrees.		
Math	Grade: 4	Measurement & Data	MD	Angle measurement	4.MD.C.6	Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure.		
Math	Grade: 4	Measurement & Data	MD	Angle measurement	4.MD.C.7	"Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real world and mathematical problems, e.g., by using an equation with a symbol for the unknown angle measure."		
